station_key,station_id,name,road_name,intersection,lga,suburb,post_code,device_type,wgs84_latitude,wgs84_longitude
15252018,6188,Great Western Highway,Great Western Highway,Victoria Street,Blue Mountains,Mount Victoria,2786.0,Tirtl,-33.582989,150.240768
58703,99043,Great Western Highway,Great Western Highway,Railway Parade,Blue Mountains,Bullaburra,2784.0,Trafficorder Loop Counter,-33.724335,150.405151
57176,60005,Hume Highway,Hume Highway,South Western Motorway,Liverpool,Liverpool,2170.0,Trafficorder Loop Counter,-33.937553,150.913849
56973,43236,Fairford Road,Fairford Road,Aster Avenue,Bankstown,Bankstown,2200.0,Trafficorder Dual Tube Classifier,-33.926025,151.038132
57535,87001,Great Western Highway,Great Western Highway,High Street,Penrith,Penrith,2750.0,Excel Ll,-33.746132,150.681915
57174,60002,South Western Motorway,South Western Motorway,Lakewood Crescent,Liverpool,Moorebank,2170.0,Trafficorder Loop Counter,-33.939297,150.921341
15648002,9849,The Boulevarde,The Boulevarde,Torrington Road,Strathfield,Strathfield,2135.0,Tirtl,-33.877975,151.093185
56916,37005,Princes Highway,Princes Highway,Yanagang Street,Sutherland,Waterfall,2233.0,Trafficorder Loop Counter,-34.132504,150.993759
57377,72083,Renown Road,Renown Road,Barclay Road,The Hills,North Rocks,2151.0,Trafficorder Loop Counter,-33.765114,151.009125
57250,66240,The Horsley Drive,The Horsley Drive,Fairfield Street,Fairfield,Fairfield,2165.0,Trafficorder Loop Counter,-33.870174,150.96106
57305,70067,Eastern Road,Eastern Road,Westlink M7,Blacktown,Rooty Hill,2766.0,Trafficorder Loop Counter,-33.771648,150.857834
57140,55049,Pittwater Road,Pittwater Road,Jenkins Street,Warringah,Collaroy,2097.0,Tirtl,-33.729507,151.30011
55329,02062,Enmore Road,Enmore Road,Bailey Street,Marrickville,Newtown,2042.0,Trafficorder Loop Counter,-33.898201,151.177399
56951,42101,South Western Motorway,South Western Motorway,Ely Street,Bankstown,Revesby,2212.0,Trafficorder Loop Counter,-33.940006,151.012375
56881,33098,Willoughby Road,Willoughby Road,Small Street,Willoughby,Willoughby,2068.0,Trafficorder Loop Counter,-33.811386,151.199509
57256,66248,Warren Road,Warren Road,Smithfield Road,Fairfield,Smithfield,2164.0,Trafficorder Loop Counter,-33.850235,150.944809
15286012,7163,Victoria Road,Victoria Road,Evans Street,Leichhardt,Rozelle,2039.0,Tirtl,-33.865181,151.171997
15334032,T0384,Bells Line Of Road,Bells Line Of Road,Sandham Road,Blue Mountains,Bell,2786.0,Tirtl,-33.511532,150.284225
15334006,9827,Pittwater Road,Pittwater Road,Devitt Street,Warringah,Narrabeen,2101.0,Tirtl,-33.719955,151.298111
56927,40041,King Georges Road,King Georges Road,Cooleen Street,Kogarah,Blakehurst,2221.0,Excel Lpl,-33.984394,151.109436
15828001,7184,Ryde Road,Ryde Road,Lady Game Drive,Ku-Ring-Gai,West Pymble,2073.0,Tirtl,-33.772957,151.135391
57042,50207,Victoria Road,Victoria Road,Bridge Street,Parramatta,Parramatta,2150.0,Trafficorder Loop Counter,-33.809143,151.025696
